Time,halTdb,wesTdb,easTdb
99900.0,286.58749068,283.82771423,285.440386154
100200.0,286.554193094,283.807224697,285.41472335
100500.0,286.521131122,283.78704357,285.389396929
100800.0,286.488311533,283.767157081,285.364394003
101100.0,286.455739697,283.747555192,285.339705103
101400.0,286.423426383,283.730637446,285.317329797
101700.0,286.391396526,283.71545265,285.296487802
102000.0,286.359672838,283.701476717,285.276753416
102300.0,286.328275768,283.688422452,285.257895356
102600.0,286.297223482,283.676130191,285.23978555
102900.0,286.266532034,283.664497829,285.222339762
103200.0,286.236216301,283.653483285,285.205526004
103500.0,286.206291011,283.643047999,285.189311408
103800.0,286.176769501,283.633197536,285.173703635
104100.0,286.147654783,283.62385209,285.158626601
104400.0,286.118940184,283.615014046,285.144083284
104700.0,286.090623603,283.606671114,285.130061699
105000.0,286.062685486,283.593236939,285.111136792
105300.0,286.035077447,283.576995943,285.089560846
105600.0,286.007752549,283.559174628,285.066523947
105900.0,285.980669689,283.540445273,285.042668583
106200.0,285.953791468,283.521180701,285.018345501
106500.0,285.927086748,283.501588067,284.993746761
106800.0,285.900530802,283.481785414,284.968980385
107100.0,285.874104308,283.461842517,284.9441095
107400.0,285.847792236,283.441802474,284.919172743
107700.0,285.821582883,283.421693252,284.894195071
108000.0,285.795467099,283.401533975,284.869193562
108300.0,285.769437719,283.381338428,284.844180614
108600.0,285.743493218,283.364082067,284.822173554
108900.0,285.717676131,283.348644007,284.80200437
109200.0,285.692014139,283.334373443,284.783010134
109500.0,285.666531362,283.320911611,284.764831316
109800.0,285.641248402,283.30805997,284.74727197
110100.0,285.616182526,283.29570751,284.730224131
110400.0,285.59134803,283.283791176,284.713627325
110700.0,285.566756656,283.272274365,284.697446901
111000.0,285.542418008,283.261135211,284.681662398
111300.0,285.518339917,283.250360193,284.666261298
111600.0,285.49452877,283.239940621,284.651235631
111900.0,285.50007577,283.229920443,284.636623117
112200.0,285.500974094,283.219491243,284.621966021
112500.0,285.498175615,283.208913686,284.612822469
112800.0,285.492554452,283.198298313,284.612042769
113100.0,285.484898461,283.187728277,284.620390562
113400.0,285.475917365,283.17718244,284.639700757
113700.0,285.466098612,283.167479234,284.650945539
114000.0,285.455704508,283.158737716,284.651672054
114300.0,285.444908742,283.150774539,284.646677976
114600.0,285.433851361,283.143505509,284.639068433
114900.0,285.422640415,283.136861585,284.630565511
115200.0,285.411364646,283.130786477,284.622109662
115500.0,285.401451362,283.55760029,285.042826443
115800.0,285.394556829,283.830024536,285.311929724
116100.0,285.390744667,284.015678072,285.502996005
116400.0,285.389817869,284.14633249,285.643519318
116700.0,285.391496137,284.24431558,285.751881168
117000.0,285.395507577,284.322686271,285.840245134
117300.0,285.401578717,284.389604523,285.916589493
117600.0,285.409451849,284.449945601,285.985736792
117900.0,285.418863648,284.506696332,286.050579463
118200.0,285.429578082,284.561875649,286.112863352
118500.0,285.441721498,284.617080829,286.173686255
118800.0,285.455377732,284.672427318,286.233740187
119100.0,285.470540065,284.727861283,286.293567499
119400.0,285.487155058,284.782903959,286.352504386
119700.0,285.505155156,284.837212845,286.411306637
120000.0,285.524425308,284.89053103,286.469873087
120300.0,285.544902043,284.942778036,286.527889811
120600.0,285.56651875,284.994093129,286.585257947
120900.0,285.589212947,285.044664743,286.641966332
121200.0,285.612928029,285.094672613,286.698041384
121500.0,285.63761261,285.144275388,286.753530496
121800.0,285.663219477,285.193612182,286.808498622
122100.0,285.689705814,285.242799236,286.863028854
122400.0,285.717032824,285.291932923,286.917196212
122700.0,285.745166086,285.341087158,286.970726548
123000.0,285.774050912,285.390470649,287.023420976
123300.0,285.80362779,285.439958128,287.075144365
123600.0,285.833845139,285.489495036,287.125888086
123900.0,285.864658356,285.539065087,287.175694512
124200.0,285.896028575,285.588673447,287.224625782
124500.0,285.927921633,285.638336986,287.272749155
124800.0,285.960307142,285.688080686,287.320133438
125100.0,285.993157894,285.737934462,287.366843316
125400.0,286.026449607,285.78792183,287.412931549
125700.0,286.060160349,285.83806589,287.458444168
126000.0,286.094271039,285.888364527,287.503405265
126300.0,286.128762874,285.938861077,287.547864934
126600.0,286.163609729,285.986819364,287.589731991
126900.0,286.198776102,286.033278943,287.629724359
127200.0,286.234228724,286.078894364,287.668308938
127500.0,286.269935556,286.124111818,287.705802239
127800.0,286.30587183,286.169161953,287.742380488
128100.0,286.342012384,286.214248678,287.778197217
128400.0,286.378337184,286.259448894,287.81333215
128700.0,286.414825438,286.304895512,287.847881509
129000.0,286.451459816,286.350664123,287.88190329
129300.0,286.488224996,286.39681837,287.915438039
129600.0,286.525104873,286.44327707,287.948369362
129900.0,286.561982089,286.441354747,287.931039402
130200.0,286.598733636,286.459010942,287.93114255
130500.0,286.635375267,286.489212663,287.942455118
130800.0,286.67194592,286.52786724,287.961534503
131100.0,286.708496523,286.572625831,287.986471442
131400.0,286.745076288,286.622085248,288.01598576
131700.0,286.781736157,286.675367713,288.049173156
132000.0,286.818524788,286.732025129,288.085506262
132300.0,286.855489677,286.791832927,288.124750519
132600.0,286.89267699,286.854775923,288.166936372
132900.0,286.930133627,286.920946592,288.211986181
133200.0,286.967908362,286.99052638,288.259866079
133500.0,287.006329401,287.168170451,288.416598294
133800.0,287.045621284,287.282367058,288.509671059
134100.0,287.08554497,287.357274937,288.561668528
134400.0,287.125853087,287.408380374,288.588270338
134700.0,287.166289855,287.445261634,288.599236664
135000.0,287.206659079,287.473267714,288.600360704
135300.0,287.246789955,287.495609194,288.595149206
135600.0,287.286542985,287.514139352,288.585653891
135900.0,287.325807018,287.529921905,288.573068699
136200.0,287.364494749,287.543564771,288.558084613
136500.0,287.402538263,287.555410076,288.541094397
136800.0,287.439885113,287.565640093,288.522308153
137100.0,287.476495081,287.574332697,288.501814135
137400.0,287.512328582,287.586766591,288.486006397
137700.0,287.54735719,287.600843308,288.472716975
138000.0,287.581561335,287.615288386,288.460620668
138300.0,287.614925895,287.629296965,288.448880554
138600.0,287.647437727,287.642343001,288.436958089
138900.0,287.679084463,287.654109931,288.42451334
139200.0,287.709854471,287.664393375,288.411307794
139500.0,287.739731495,287.673057109,288.397202721
139800.0,287.768707606,287.679936454,288.382048944
140100.0,287.796770318,287.68490347,288.365753179
140400.0,287.823908447,287.687834384,288.348231714
140700.0,287.850112681,287.688607758,288.329399731
141000.0,287.875391962,287.691420437,288.311889498
141300.0,287.899788313,287.69552664,288.295208911
141600.0,287.923362973,287.700432855,288.27893259
